n1,fren
khdra,lgumes
bsla,oignon
maticha,tomate
jelbana,pois
dnjal,aubergine
gar3a,citrouille
mkowwr,chou
btata,pomme de terre
khyar,concombre
khizo,carotte
touma,ail
chiflour,choufleur
9o9,artichauts
khrchouf,cardon
flfla,poivre
fjl,radis
loubia,haricots
bsbas,fenouil
khoss,laitue
lft,navet
kbal,mas
9zbour,coriandre
m3dnous,persil
zitoun,olives
barba,betterave
krafs,cleri
kourjit,courgette
dissir,fruits
tfa7,pomme
bou3ouid,poire
friz,fraise
avoka,avocat
3nb,raisin
krmous,figue
limoun,orange
7amd,citron
rman,grenade
dla7,pastque
khoukh,pche
kiwi,kiwi
7blmlouk,cerise
ananas,ananas
mnoun,melon
swi8la,melon
banan,banane
mchmach,abricot
mang,mangue
mandarine,mandarine
tmr,datte
br9o9,prunes
makla,nourriture
3ds,lentilles
nbg,jujube
bllot,chne
llouz,amandes
n3na3,menthe
zbib,raisins secs
bid,ufs
bida,uf
zbda,beurre
khbz,pain
mska,chewinggum
skkar,sucre
ml7a,sel
zit,huile
7mms,pois chiches
7rira,soupe
chlada,salade
l7m,viande
khmira,levure
3jina,pte
frmaj,fromage
ch3ria,ptes
disir,desserts
laglas,glace
kika,gteau
3tria,pices
gm7,bl
dgig,farine
ch3ir,orge
9rfa,cannelle
kmmon,cumin
9ronfl,clous de girofle
z3fran,safran
z3tr,thym
chrab,boire
chchrab,alcool
birra,bire
atay,th
7lib,lait
3asir,jus
ftor,petitdjeuner
ghda,djeuner
3cha,dner
ma9adir,ingrdients
jo3,faim
3tch,soif
rijim,rgime
cha8ia,apptit
mchwi,grill
m9li,frit
m7mmr,grill
mgrml,croquant
khdr,brut
bnin,dlicieux
nachf,sec
7lo,doux
7arr,pic
marr,amer
7amd,aigre
m7roug,brl
lkhell,vinaigre
btata frit,frites
s99ata,bonbons
mada9,saveur
tajin,tajine
tanjia,tanjia
bstila,pastille
m7nncha,mhanncha
f99as,fekkas
k3bghzal,kaab el ghazal
sellou,sellou
briwat,briouats
chbbakia,chebakia
ghriba,ghriba
9richlat,qurishlat
rzzt l9adi,rzat el qadi
7wayj,vtements
khatm,bague
9amija,chemise
srwal,pantalon
kaskita,casquette
sbbat,chaussure
t9achr,chaussettes
chort,shorts
kbbot,manteau
grafata,cravate
trbouch,chapeau
tjakita,veste
saya,jupe
slip,slip
chal,foulard
djin,jeans
kswa,robe
kostim,costume
pijama,pyjamas
likouch,couches
ligat,gants
smta,ceinture
sdfa,bouton
jib,poche
twang,boucle
snsla,collier
gormit,bracelet
bstam,portefeuille
mdll,parapluie
tagia,calotte
touni,maillot de foot
jellaba,djellaba
blgha,balgha
drra3ia,draa
jabador,jabador
9ftan,caftan
tkchita,takchita
sl8am,silham
7jjam,coiffeur
7lla9,coiffeur
gzzar,boucher
tbib,mdecin
frmlia,infirmire
modir,directeur
fnnan,artiste
trisyan,lectricien
mo8ndis,ingnieur
flla7,paysan
sa7afi,journaliste
9adi,juge
mo7ami,avocat
mikanisyan,mcanicien
wakil,procureur
bolisi,flic
jadarmi,gendarme
rssam,peintre
moswwir,photographe
srbay,serveur
srbaya,serveuse
khyyat,tailleur
safir,ambassadeur
mostachar,conseiller
plombi,plombier
mo9awil,entrepreneur
mowddaf,employ
sikritira,secrtaire
khddar,marchand de lgumes
njjar,menuisier
7rayfi,artisan
sbbagh,peintre
n77at,sculpteur
mol ddjaj,volailler
mol l7out,poissonnier
oustad,professeur
mol taxi,chauffeur de taxi
chifour,conducteur
kherraz,cordonnier
mol lmsbana,propritaire dune savonnerie
gbbas,pltrier
jlayji,carreleur
